epoch,train_accuracy,val_accuracy,val_loss_mean,val_loss_variance,train_accuracy_normalized,val_accuracy_normalized,val_loss_mean_normalized,val_loss_variance_normalized
1,0.07079,0.10748,3.7898535840467718,1.5616820660807509,0.0,0.0,1.0,0.0
2,0.151365,0.18192,3.3547589578409087,2.317337325271069,0.08672931197795573,0.11561160464682858,0.8443907773285323,0.1834492205433358
3,0.23214,0.2475,3.0196590009931765,2.871746556919712,0.1736738999397227,0.21746288128222646,0.7245441033830674,0.3180422643566625
4,0.314075,0.29638,2.7760753912844485,3.3426541593985366,0.2618670886075949,0.29337764800894567,0.6374277524117472,0.4323637510028819
5,0.389395,0.3556,2.4720867564417706,3.3397180902842862,0.3429400241109102,0.3853513076970864,0.528707873287227,0.431650966192719
6,0.44443,0.39244,2.3104528631431216,3.5618162539484173,0.4021785929561698,0.44256693793874635,0.47090039192875743,0.48556938270972677
7,0.486805,0.42572,2.1560833629807266,3.4126581668711315,0.44779019202617754,0.49425358762502325,0.4156909811991298,0.4493585121053425
8,0.51577,0.44184,2.0961313355944924,3.4224452760611577,0.4789675363816412,0.5192893085668137,0.39424946522247317,0.45173451297405426
9,0.53992,0.46462,2.010741814166603,3.5990758260113482,0.5049621114268492,0.5546685717835621,0.3637103680850251,0.49461482951843005
10,0.56,0.46718,2.0126108426557074,3.7440724992066876,0.5265758202014984,0.5586444679132757,0.3643788159417053,0.5298154403201906
11,0.574675,0.48256,1.916907787024432,3.4626102740011957,0.5423716955136485,0.5825309063800708,0.3301511394844447,0.4614853053831744
12,0.588955,0.4651,2.081733577804205,4.363678720768205,0.5577424007577715,0.5554140523078834,0.38910018558761367,0.6802362532594862
13,0.599355,0.4943,1.8957990345598952,3.6737954463066504,0.5689367519159562,0.6007641175374293,0.32260170916576997,0.5127543924153448
14,0.61147,0.48916,1.9571175722609693,4.128377760125604,0.5819770946353224,0.5927812635894887,0.3445319501117949,0.6231126148039882
15,0.6204,0.51182,1.82711032090757,3.7631340562763644,0.5915891673124946,0.6279741566751569,0.2980355649434231,0.5344429840899796
16,0.628385,0.5287,1.7295480548523705,3.401471987668675,0.6001840609661586,0.6541902217804558,0.2631429520070054,0.44664286124393315
17,0.63593,0.51046,1.8621588533275917,3.9553530562582235,0.6083053474554379,0.6258619618562465,0.3105704816193988,0.5811076837548441
18,0.64184,0.51766,1.827528527212053,4.019855098178075,0.6146667527770602,0.637044169721066,0.2981851341498377,0.5967667414663318
19,0.649705,0.52602,1.7808608543117592,3.7515710384518064,0.6231324808404374,0.6500279555196621,0.2814946951820508,0.5316358487180685
20,0.65273,0.50958,1.8744822375515025,4.1651537994956005,0.6263885300955826,0.6244952475616574,0.3149778728494097,0.6320406751529968
21,0.65794,0.53228,1.7846854016908706,4.020330454748645,0.6319964694738655,0.6597502640243523,0.2828625237160951,0.5968821430218568
