epoch,train_accuracy,val_accuracy,val_loss_mean,val_loss_variance,train_accuracy_normalized,val_accuracy_normalized,val_loss_mean_normalized,val_loss_variance_normalized
1,0.053005,0.08843,4.357612226550768,2.499455549282043,0.0,0.0,1.0,0.0
2,0.1424125,0.17564,3.700073669728605,3.087397311130637,0.09446042424386494,0.1763777935079381,0.7119591934814128,0.07779505778959085
3,0.2214,0.23713,3.33144094057132,3.488924670316141,0.17791195526712678,0.300738193952877,0.5504762393429075,0.13092420448215422
4,0.2876825,0.28305,3.0879492194872094,3.8207126014499444,0.24794045477716764,0.3936090605723532,0.4438124536318058,0.17482559565955108
5,0.342285,0.33253,2.8445488273782837,4.110529477812731,0.305628851329757,0.4936798462938619,0.33718867541744785,0.21317347653494945
6,0.38663,0.36946,2.656169048160665,4.1180650190927475,0.3524800384571701,0.56836889473152,0.25466718222946483,0.2141705614630748
7,0.42618,0.39307,2.551866373273042,4.451040655696854,0.3942652329749104,0.6161189200121346,0.20897643712415176,0.25822910700795315
8,0.4613125,0.40777,2.489077016894597,4.612382168324252,0.43138326954620015,0.6458489230458085,0.18147098263120418,0.2795774328340418
9,0.4916075,0.44074,2.323698281759456,4.517246821805601,0.4633904115920898,0.7125290727070483,0.10902530814548227,0.2669893496929822
10,0.5197925,0.45226,2.280621356403191,4.551714434082248,0.4931683055865907,0.7358276873293559,0.09015506518676343,0.27155002230194963
11,0.5454975,0.46357,2.2457775861343565,4.889864608742309,0.5203260407339614,0.758701587622611,0.07489143146330729,0.3162932504348308
12,0.57057,0.48043,2.170045406545393,4.867609540036863,0.5468155297237476,0.7928000808979676,0.04171625433964037,0.31334851259105545
13,0.5951075,0.48483,2.1554156088630574,4.90790312040012,0.5727397828332053,0.8016988573162099,0.035307537041008426,0.3186800634627834
14,0.61669,0.48613,2.168554037742907,5.236971027092375,0.5955420321550542,0.8043280412579635,0.04106294653247415,0.3622215474650987
15,0.6385025,0.49038,2.185225849227464,5.646251150408072,0.6185872800796612,0.8129234502983113,0.04836618673993232,0.41637652149750115
16,0.658655,0.50113,2.13225389648591,5.608326075120654,0.6398787120017538,0.8346647790474264,0.02516133611598879,0.4113583655931089
17,0.677505,0.50329,2.1558623183258048,6.031135059141949,0.659794032271271,0.8390332692891093,0.03550322222569341,0.46730344634817406
18,0.6968175,0.5037,2.173870971722904,6.364901210022202,0.6801979910354645,0.8398624734553546,0.043392078316328804,0.5114665908649011
19,0.71504,0.50619,2.1790355787369413,6.549933968128985,0.699450347725718,0.8448983719284054,0.04565448187310948,0.5359496860351188
20,0.7323075,0.50872,2.2015628517264916,6.8705996360988255,0.7176937319566934,0.8500151683688947,0.055522760794933054,0.5783794057618077
21,0.749875,0.50382,2.25977012519015,7.366462041806529,0.7362540708869184,0.8401051673576703,0.08102099176521914,0.6439907418003086
22,0.764875,0.50491,2.307386679085417,7.86567459273611,0.7521018058493989,0.8423096369703711,0.10187986071720061,0.7100453610992468
23,0.779455,0.50483,2.3120544140685064,7.9942498915529825,0.76750580423293,0.8421478410354941,0.10392460491538417,0.7270581393212304
24,0.79231,0.506,2.375615227135717,8.68399700372104,0.7810873130957757,0.8445141065830721,0.13176800309926912,0.8183238393160805
25,0.8056525,0.50231,2.4115927006940687,8.94425782488496,0.7951838733449021,0.8370512690868643,0.14752826596557506,0.8527609331519622
26,0.818005,0.50048,2.459592471873659,9.430776945868384,0.8082344830865048,0.8333501870765498,0.16855500677009366,0.9171359879424964
27,0.8311675,0.50253,2.4251957076514246,9.184173964833928,0.8221408705160814,0.8374962079077765,0.15348718815260423,0.8845060670803663
28,0.841955,0.50309,2.4980582115901493,10.003414773291954,0.8335380332432654,0.8386287794519164,0.18540527749006377,0.9929060654699955
29,0.850555,0.50444,2.4839540333890078,9.833809584411519,0.8426240679550875,0.841359085852968,0.1792268126347512,0.970464309625195
30,0.85928,0.50733,2.484935563803672,10.057027695301603,0.8518421671249303,0.8472039640004044,0.1796567810515521,1.0
31,0.9514925,0.57012,2.0835216098623395,8.640490599773042,0.949266117806779,0.9741935483870968,0.003813710190617254,0.8125671752568546
32,0.977425,0.5738,2.0748156854303628,8.685901647955617,0.9766642102677474,0.981636161391445,0.0,0.8185758573183938
33,0.9841025,0.57469,2.0818827560259643,8.813379496207673,0.9837190936152117,0.9834361411669533,0.0030957952092099178,0.835443423487669
34,0.9878175,0.57522,2.08005974673559,8.859575631690507,0.987644049307586,0.9845080392355142,0.0022972092390912595,0.8415559864364944
35,0.9903775,0.57624,2.0758647109040407,8.807081911753105,0.9903487294078493,0.9865709374051977,0.0004595352475709665,0.83461014206701
36,0.99213,0.57733,2.0772988429505275,8.90112180457848,0.9922002731092991,0.9887754070178988,0.0010877699678596673,0.8470532773766615
37,0.9933025,0.57663,2.0882584203609182,9.00270722888661,0.993439037725533,0.9873596925877238,0.0058887135530517895,0.8604948194943419
38,0.994375,0.5798,2.083436735357305,9.018304602521738,0.9945721507753504,0.9937708565072303,0.0037765301338292304,0.862558626935908
39,0.9952475,0.57645,2.094982922744005,9.074178917139585,0.9954939606923346,0.9869956517342503,0.008834443609128733,0.8699517835658814
