epoch,train_mean_loss,val_mean_loss,val_accuracy
1,4.314025958,4.076168986,0.06828
2,3.959864394,3.903137373,0.09216
3,3.799409547,3.84559284,0.10324
4,3.629755309,3.643060351,0.13952
5,3.469371923,3.487711598,0.1648
6,3.314129837,3.397301382,0.183
7,3.167916508,3.331138253,0.19824
8,3.016471483,3.163506049,0.22484
9,2.865642682,3.071458082,0.24616
10,2.718760509,2.976814851,0.26276
11,2.573193233,2.822869791,0.2926
12,2.445407692,2.805223707,0.29896
13,2.32970711,2.771804863,0.30968
14,2.225393307,2.716642883,0.32268
15,2.129000165,2.658653517,0.32908
16,2.050859579,2.643296332,0.33968
17,1.97496339,2.550474373,0.35984
18,1.909566237,2.634941607,0.35576
19,1.842552613,2.557924147,0.35944
20,1.789528484,2.607820999,0.36304
21,1.729335298,2.50650356,0.3814
22,1.667406769,2.482793332,0.38056
23,1.624405314,2.4614353,0.39036
24,1.578692746,2.545567984,0.38192
25,1.53601531,2.559564573,0.37732
26,1.487155934,2.530205396,0.38792
27,1.453588641,2.541973304,0.3872
28,1.410907359,2.523793123,0.39796
29,1.376522756,2.511130969,0.40292
30,1.344982947,2.442855017,0.41108
31,1.311570245,2.466710467,0.40712
32,1.291689349,2.587413778,0.39992
33,1.259139373,2.513269712,0.4052
34,1.229324581,2.576379641,0.40484
35,1.199528695,2.550337699,0.4044
36,1.179907633,2.48236811,0.41456
37,1.150368352,2.633572218,0.39636
38,1.129933262,2.629720059,0.40124
39,1.11679917,2.606353969,0.39812
40,1.103029296,2.633229377,0.40056
41,0.5962528572,1.886039394,0.52944
42,0.3962798916,1.909863511,0.5348
43,0.3206629714,1.935771624,0.53488
44,0.2705631751,1.966241624,0.53588
45,0.2316824982,1.998045887,0.5342
46,0.204258658,2.01611568,0.53352
47,0.180404069,2.042370931,0.53428
48,0.1610153527,2.055935306,0.53256
49,0.1401520798,2.064240084,0.5332
50,0.1284095846,2.09818527,0.53236
51,0.1122727253,2.108805054,0.53288
52,0.1015490929,2.120371021,0.53272
53,0.09297329988,2.128053419,0.53208
54,0.08403237424,2.148331994,0.53248
55,0.07650231309,2.143102986,0.53376
56,0.07089131713,2.155801776,0.53328
57,0.06463938254,2.144857352,0.53688
58,0.05882605604,2.158153526,0.5338
59,0.0547520562,2.173267732,0.53348
60,0.0508093655,2.150183488,0.53504
61,0.05098463919,2.153745412,0.53588
62,0.04690594836,2.151103203,0.5356
63,0.04427874491,2.158769746,0.53456
64,0.0416369813,2.157746528,0.53524
65,0.04015012591,2.153032208,0.53428
66,0.03893685304,2.137547498,0.53916
67,0.03688470913,2.138416784,0.53692
68,0.03591557272,2.144578072,0.5356
69,0.03665447731,2.154577874,0.53264
70,0.0352584426,2.144311792,0.53548
71,0.03442625198,2.14797186,0.53428
72,0.03678626242,2.150451597,0.53408
73,0.03783775418,2.155373547,0.53348
74,0.03911067435,2.130054259,0.53644
75,0.0417496468,2.160230689,0.5322
76,0.02675685662,2.073516195,0.54488
77,0.01963237725,2.057946949,0.54444
78,0.0176161938,2.045996146,0.54688
79,0.01620928099,2.059170898,0.54588
80,0.01574437655,2.051405479,0.5456
81,0.01482931708,2.050189479,0.54708
82,0.014479588,2.047549165,0.54788
83,0.01397044784,2.035635298,0.54964
84,0.01349340624,2.038781126,0.5494
85,0.01342598515,2.033068419,0.55136
86,0.01318468913,2.019059006,0.55168
87,0.01311905764,2.024777111,0.549
88,0.01304744922,2.020773377,0.54952
89,0.01287939683,2.026774898,0.54964
90,0.01253196864,2.026455495,0.5498
91,0.01257986546,2.016994146,0.55292
92,0.01250011928,2.021139354,0.55228
93,0.01226016007,2.016929969,0.55212
94,0.01233172542,2.010985372,0.55152
95,0.01234585058,2.008654904,0.55284
96,0.0122525891,1.997274609,0.55284
97,0.01206000399,2.002715868,0.55156
98,0.01218509573,2.001731664,0.54896
99,0.0119906872,1.996475156,0.552
100,0.01206158867,1.998208504,0.54896
