cr,topk,random_mean,random_max,group_old_mean,group_old_max
20,4989.49951171875,4033.67685546875,4040.623779296875,5116.691796875,5127.654296875
30,7102.8017578125,6054.35986328125,6075.8525390625,7245.2361328125,7271.4443359375
40,9143.2041015625,8060.76748046875,8079.3349609375,9247.57578125,9254.6953125
50,11113.990234375,10075.8369140625,10102.1279296875,11206.087890625,11211.7626953125
60,13060.4814453125,12095.4107421875,12121.2705078125,13114.0849609375,13120.443359375
70,14959.2021484375,14102.1435546875,14147.255859375,14997.9580078125,15002.9931640625
80,16785.560546875,16122.4337890625,16150.1923828125,16809.133984375,16812.40234375
90,18544.4296875,18136.428125,18160.38671875,18550.606640625,18552.265625
