kr,topk_1,topk_2,random_1,random_2,herding_1,herding_2,E2LN_1,E2LN_2,GraNd_1,GraNd_2,Forgetting_1,Forgetting_2,MoSo_1,MoSo_2
20,5727.491815110047,0.2454959988594055,nan,nan,4491.803458794951,0.05382146943360567,4494.8990718871355,0.06392435265084107,4486.891038879752,0.0634439447025458,4486.667561481397,0.06193506956721345,4530.925210781395,0.06500755243003369
30,8144.672078361114,0.20218703528245294,nan,nan,6707.44000326097,0.04084251657128334,6717.514630950987,0.04812756229192019,6707.601395177345,0.04821613165239493,6708.218263919155,0.047464389173934855,6741.030079834163,0.04972258385270834
40,10393.700070083141,0.16740768770376838,nan,nan,8935.759428098798,0.03253640821203589,8927.987982658049,0.038608996855715914,8930.528161150714,0.03893462738022208,8929.725831372043,0.0382668216774861,8930.434452801943,0.04162376206368208
50,12546.027879148722,0.1372043723364671,nan,nan,11162.603423774242,0.02672377049922943,11159.45656803747,0.03174442145352562,11152.447641074657,0.03152991769835353,11152.748013327518,0.0316483382259806,11120.571543887258,0.036194690112024544
60,14606.701552987099,0.10986629808942477,nan,nan,13402.202796369791,0.02176157047972083,13384.935811000565,0.0257185125661393,13371.070901401341,0.025734136284639438,13372.28983576844,0.02602476057286064,13307.46790201962,0.03165742915123701
70,16591.326001236837,0.08375060873727004,nan,nan,15618.781751818955,0.017932415958493948,15602.29775772492,0.02044601837483545,15589.651451058686,0.02064066198033591,15594.931575623652,0.0204917959899952,15498.517316877842,0.027474782271310685
80,18486.562344466645,0.05787380830695232,nan,nan,17842.75069475919,0.013658282225951552,17815.812154452007,0.015509056150913239,17811.62600414455,0.015804777607942622,17825.599243044853,0.01549785731981198,17696.543606318533,0.022231681123375893
90,20341.329391777515,0.031245708242058755,nan,nan,20044.48026612401,0.009168341858312487,20027.939387065668,0.010428271594767767,20035.660571160417,0.010542059073535106,20032.25430315733,0.010476665631867945,19958.78165318072,0.014823764553293586
