kr,topk,random_mean,random_max,group_old_mean,group_old_max,herding_mean,herding_max
20,4730.281990092884,4241.082659820823,4250.3853375578565,4641.076292844252,4651.770908756747,4272.281830585366,4272.299119983055
30,7158.785994283788,6382.542945564813,6412.909674950329,7307.3586527748475,7345.068086761595,6390.385481251124,6390.951270461562
40,9527.914388376032,8610.428377093993,8643.507350042872,10006.929136368937,10044.251379225092,8629.493288861348,8631.506524862452
50,11780.80289736234,10891.862596293644,10924.067296309238,12417.399309311893,12490.27530183358,10924.258599039169,10927.456792665062
60,13707.73286590958,13221.841156517301,13259.125991889146,14527.605122322057,14609.26326498402,13271.576903732845,13276.152762647156
70,15755.33484321638,15565.809592993037,15615.792629196378,16420.544598032113,16499.193452433046,15651.97409269822,15658.182013636757
80,18064.30183970957,18019.522393912222,18079.276615280127,18454.21281067545,18496.414317331255,18062.37429284892,18065.136951537952
90,20539.45817329625,20516.132146320433,20563.18378858939,20582.10719210574,20633.68408047675,20571.362476639504,20576.094503603472
