rank,sample_index,class_id,selected_count_before_add,dynamic_k,old_mean_shift,new_mean_shift,dist_improve_raw,div_raw,sa_z,dds_z,div_z,dist_z,sa_component,dds_component,div_component,dist_component,total
1,13968,83,91,5,0.00224715075455606,0.0022339713759720325,1.317937858402729e-05,1.4073153734207153,-0.8641250133514404,0.6911508440971375,0.8474406003952026,1.7262258529663086,-0.23411142826080322,0.2121993601322174,0.35766541957855225,1.7262258529663086,2.061979293823242
2,15460,83,91,5,0.00224715075455606,0.002179838251322508,6.731250323355198e-05,1.4014135599136353,1.5946693420410156,-0.3535154461860657,-1.140602707862854,2.187866687774658,0.4320327639579773,-0.1085374504327774,-0.48139554262161255,2.187866687774658,2.029966354370117
3,34977,83,91,5,0.00224715075455606,0.002215626882389188,3.1523872166872025e-05,1.4011270999908447,0.9561554789543152,1.2455676794052124,-1.2370976209640503,1.8826655149459839,0.2590446174144745,0.3824182152748108,-0.5221216082572937,1.8826655149459839,2.002006769180298
4,21256,83,91,5,0.00224715075455606,0.002188603626564145,5.854712799191475e-05,1.4034994840621948,0.5415437817573547,-0.5977141857147217,-0.43795305490493774,2.113116502761841,0.14671672880649567,-0.1835121363401413,-0.18483969569206238,2.113116502761841,1.8914813995361328
5,36109,83,91,5,0.00224715075455606,0.002164028352126479,8.312240242958069e-05,1.4035851955413818,0.3363848924636841,-1.6306577920913696,-0.4090808629989624,2.3226914405822754,0.0911344438791275,-0.5006498098373413,-0.17265407741069794,2.3226914405822754,1.7405219078063965
6,6675,83,91,5,0.00224715075455606,0.0022129963617771864,3.4154392778873444e-05,1.4048869609832764,0.7620878219604492,-1.3779296875,0.029422666877508163,1.9050981998443604,0.20646719634532928,-0.423056423664093,0.012417944148182869,1.9050981998443604,1.7009268999099731
7,1945,83,91,5,0.00224715075455606,0.0022315981332212687,1.5552621334791183e-05,1.4038960933685303,0.903303325176239,-0.8507946133613586,-0.3043540120124817,1.7464646100997925,0.24472574889659882,-0.2612137198448181,-0.12845373153686523,1.7464646100997925,1.6015229225158691
8,49872,83,91,5,0.00224715075455606,0.002275818958878517,-2.8668204322457314e-05,1.403638243675232,0.2756206691265106,1.0094174146652222,-0.39121145009994507,1.3693547248840332,0.07467200607061386,0.30991458892822266,-0.1651122272014618,1.3693547248840332,1.5888290405273438
9,38746,83,91,5,0.00224715075455606,0.0021893312223255634,5.7819532230496407e-05,1.4031236171722412,0.7321568727493286,-1.5838332176208496,-0.5645649433135986,2.1069116592407227,0.1983582228422165,-0.4862735867500305,-0.23827670514583588,2.1069116592407227,1.5807195901870728
10,34566,83,91,5,0.00224715075455606,0.0022263876162469387,2.0763138309121132e-05,1.4018346071243286,0.8239972591400146,-0.0678883045911789,-0.9987717866897583,1.7908992767333984,0.22323989868164062,-0.02084328606724739,-0.42153528332710266,1.7908992767333984,1.571760654449463
11,45103,83,91,5,0.00224715075455606,0.0022690151818096638,-2.1864427253603935e-05,1.4049766063690186,-0.11111212521791458,0.44978398084640503,0.059619978070259094,1.4273765087127686,-0.030102841556072235,0.13809412717819214,0.02516283094882965,1.4273765087127686,1.560530662536621
12,7553,83,91,5,0.00224715075455606,0.0022586542181670666,-1.1503463611006737e-05,1.4041707515716553,0.10040392726659775,-0.0338657945394516,-0.2118345946073532,1.5157334804534912,0.02720174379646778,-0.010397585108876228,-0.08940556645393372,1.5157334804534912,1.4431320428848267
13,27505,83,91,5,0.00224715075455606,0.0022598248906433582,-1.2674136087298393e-05,1.4042048454284668,-0.21954399347305298,0.03201493248343468,-0.20034997165203094,1.5057501792907715,-0.05947954207658768,0.009829327464103699,-0.08455844223499298,1.5057501792907715,1.3715415000915527
14,28036,83,91,5,0.00224715075455606,0.002277468331158161,-3.0317576602101326e-05,1.4053409099578857,0.6272228360176086,-0.8132880330085754,0.1823367178440094,1.3552889823913574,0.1699291616678238,-0.24969831109046936,0.0769558772444725,1.3552889823913574,1.3524757623672485
15,43241,83,91,5,0.00224715075455606,0.0022524993401020765,-5.348585546016693e-06,1.4053947925567627,-0.4780336618423462,-0.5827367305755615,0.20048724114894867,1.5682215690612793,-0.12951035797595978,-0.17891371250152588,0.08461637794971466,1.5682215690612793,1.3444138765335083
