rank,sample_index,class_id,selected_count_before_add,dynamic_k,old_mean_shift,new_mean_shift,dist_improve_raw,div_raw,sa_z,dds_z,div_z,dist_z,sa_component,dds_component,div_component,dist_component,total
1,7555,9,91,5,0.0027225459925830364,0.002794833155348897,-7.228716276586056e-05,1.4003058671951294,0.3694493770599365,1.0116567611694336,0.13711771368980408,0.6310163736343384,0.10009237378835678,0.3106021285057068,0.05787103250622749,0.3155081868171692,0.7840737104415894
2,13462,9,91,5,0.0027225459925830364,0.002684385050088167,3.816094249486923e-05,1.3957558870315552,-0.11907470971345901,1.8011764287948608,-1.1829569339752197,1.3245255947113037,-0.03226009011268616,0.5530030131340027,-0.49927130341529846,0.6622627973556519,0.6837344169616699
3,7106,9,91,5,0.0027225459925830364,0.00260841753333807,0.00011412845924496651,1.398086667060852,0.9910706281661987,-1.079978585243225,-0.5067334175109863,1.8015294075012207,0.26850393414497375,-0.3315785229206085,-0.21386869251728058,0.9007647037506104,0.6238214373588562
4,15525,9,91,5,0.0027225459925830364,0.002721118275076151,1.4277175068855286e-06,1.4011669158935547,-0.026196561753749847,-0.26702430844306946,0.3869316577911377,1.093875765800476,-0.007097254041582346,-0.08198266476392746,0.16330592334270477,0.546937882900238,0.6211639046669006
5,45207,9,91,5,0.0027225459925830364,0.002609206596389413,0.00011333939619362354,1.3966549634933472,1.373437762260437,-0.8802738189697266,-0.9221100807189941,1.7965748310089111,0.3720960319042206,-0.27026450634002686,-0.38917994499206543,0.8982874155044556,0.6109390258789062
6,40119,9,91,5,0.0027225459925830364,0.002553666941821575,0.00016887905076146126,1.3951019048690796,0.761567234992981,-0.31467944383621216,-1.3726952075958252,2.145311117172241,0.20632615685462952,-0.09661389887332916,-0.5793510675430298,1.0726555585861206,0.60301673412323
7,8837,9,91,5,0.0027225459925830364,0.002780258422717452,-5.7712430134415627e-05,1.3991879224777222,0.21832121908664703,0.7722399830818176,-0.18722887337207794,0.7225318551063538,0.059148263186216354,0.23709560930728912,-0.07902063429355621,0.3612659275531769,0.5784891843795776
8,38863,9,91,5,0.0027225459925830364,0.0027316673658788204,-9.121373295783997e-06,1.3980377912521362,1.023281216621399,-0.00909056793898344,-0.5209136605262756,1.0276374816894531,0.27723053097724915,-0.0027910154312849045,-0.21985352039337158,0.5138187408447266,0.5684047341346741
9,30367,9,91,5,0.0027225459925830364,0.0028174761682748795,-9.493017569184303e-05,1.4014743566513062,0.8333428502082825,-0.36856502294540405,0.4761286973953247,0.4888397455215454,0.22577182948589325,-0.11315802484750748,0.20095185935497284,0.2444198727607727,0.5579855442047119
10,16048,9,91,5,0.0027225459925830364,0.0026360151823610067,8.653081022202969e-05,1.3933645486831665,0.5277395248413086,1.277036428451538,-1.876750111579895,1.6282423734664917,0.14297683537006378,0.3920798599720001,-0.7920892834663391,0.8141211867332458,0.5570886135101318
11,43180,9,91,5,0.0027225459925830364,0.002782311523333192,-5.976553075015545e-05,1.3978756666183472,-0.6469420790672302,1.9002217054367065,-0.5679504871368408,0.7096403241157532,-0.17527155578136444,0.583412230014801,-0.23970557749271393,0.3548201620578766,0.5232552289962769
12,36101,9,91,5,0.0027225459925830364,0.0026656847912818193,5.686120130121708e-05,1.398306965827942,0.919787585735321,-0.8709463477134705,-0.44281867146492004,1.4419454336166382,0.24919171631336212,-0.2674007713794708,-0.18689323961734772,0.7209727168083191,0.5158704519271851
13,8590,9,91,5,0.0027225459925830364,0.00275104446336627,-2.8498470783233643e-05,1.398031234741211,0.8497903347015381,0.1590840369462967,-0.5228158831596375,0.9059677720069885,0.23022784292697906,0.04884249344468117,-0.2206563651561737,0.45298388600349426,0.5113978385925293
14,14612,9,91,5,0.0027225459925830364,0.002685786224901676,3.6759767681360245e-05,1.39979088306427,0.5085057020187378,-0.9103705286979675,-0.012293385341763496,1.3157274723052979,0.13776594400405884,-0.2795048952102661,-0.005188468378037214,0.6578637361526489,0.5109363198280334
15,8714,9,91,5,0.0027225459925830364,0.0026017429772764444,0.00012080301530659199,1.3944976329803467,0.9734306335449219,-0.09348969161510468,-1.5480111837387085,1.8434393405914307,0.2637248635292053,-0.028703507035970688,-0.6533437967300415,0.9217196702957153,0.5033972263336182
