rank,sample_index,class_id,selected_count_before_add,dynamic_k,old_mean_shift,new_mean_shift,dist_improve_raw,div_raw,sa_z,dds_z,div_z,dist_z,sa_component,dds_component,div_component,dist_component,total
1,66,83,91,5,0.002530199708417058,0.002483754651620984,4.6445056796073914e-05,1.404150366783142,0.1561754047870636,-0.2984911799430847,-0.12793298065662384,1.631613850593567,0.04231152683496475,-0.09164372831583023,-0.05399458482861519,0.8158069252967834,0.7124801278114319
2,19184,83,91,5,0.002530199708417058,0.002409088658168912,0.00012111105024814606,1.4034298658370972,-0.5829577445983887,-0.3053390681743622,-0.37014803290367126,2.2323246002197266,-0.1579367220401764,-0.09374618530273438,-0.15622232854366302,1.1161623001098633,0.7082570791244507
3,43234,83,91,5,0.002530199708417058,0.002435927279293537,9.427242912352085e-05,1.4029271602630615,0.201659694314003,-0.41835036873817444,-0.5391455292701721,2.016399621963501,0.05463426932692528,-0.12844328582286835,-0.22754834592342377,1.0081998109817505,0.7068424224853516
4,21182,83,91,5,0.002530199708417058,0.002442315686494112,8.788402192294598e-05,1.4042942523956299,-0.1726967692375183,-0.6722166538238525,-0.07956209778785706,1.9650030136108398,-0.04678754508495331,-0.20638611912727356,-0.03357947617769241,0.9825015068054199,0.6957483887672424
5,20603,83,91,5,0.002530199708417058,0.002555890940129757,-2.5691231712698936e-05,1.4047914743423462,-0.904615581035614,1.2292225360870361,0.08759195357561111,1.051255464553833,-0.24508126080036163,0.37739986181259155,0.03696850687265396,0.5256277322769165,0.6949148178100586
6,30746,83,91,5,0.002530199708417058,0.0024759615771472454,5.4238131269812584e-05,1.4055101871490479,-0.4882744252681732,-0.6670438051223755,0.3292059004306793,1.6943116188049316,-0.13228482007980347,-0.20479793846607208,0.13894255459308624,0.8471558094024658,0.6490156054496765
7,42564,83,91,5,0.002530199708417058,0.00251084310002625,1.9356608390808105e-05,1.402956485748291,0.2928486168384552,0.18272720277309418,-0.5292870402336121,1.4136791229248047,0.07933945953845978,0.05610149726271629,-0.22338753938674927,0.7068395614624023,0.6188929677009583
8,43647,83,91,5,0.002530199708417058,0.002530227415263653,-2.7706846594810486e-08,1.4016764163970947,0.6550463438034058,0.6929217576980591,-0.9596155285835266,1.2577263116836548,0.1774671971797943,0.21274307370185852,-0.4050092399120331,0.6288631558418274,0.6140642166137695
9,1258,83,91,5,0.002530199708417058,0.002412102883681655,0.00011809682473540306,1.3996845483779907,1.240080714225769,-0.5465347170829773,-1.6292335987091064,2.2080743312835693,0.3359665274620056,-0.16779884696006775,-0.6876240372657776,1.1040371656417847,0.5845807790756226
10,48562,83,91,5,0.002530199708417058,0.002491370774805546,3.8828933611512184e-05,1.4044883251190186,0.49290144443511963,-1.0903807878494263,-0.014319519512355328,1.5703399181365967,0.1335383951663971,-0.3347722291946411,-0.0060436055064201355,0.7851699590682983,0.577892541885376
11,18668,83,91,5,0.002530199708417058,0.0024944168981164694,3.578281030058861e-05,1.4053634405136108,-2.06740140914917,0.6395493745803833,0.27987319231033325,1.545832872390747,-0.5601068139076233,0.19635652005672455,0.11812150478363037,0.7729164361953735,0.5272876620292664
12,26072,83,91,5,0.002530199708417058,0.002740897238254547,-0.00021069752983748913,1.4107286930084229,-0.569770097732544,0.05291334539651871,2.0835418701171875,-0.4371766149997711,-0.15436388552188873,0.016245625913143158,0.8793664574623108,-0.21858830749988556,0.5226598978042603
13,24405,83,91,5,0.002530199708417058,0.0025882269255816936,-5.802721716463566e-05,1.407556414604187,-0.9330400228500366,-0.19925469160079956,1.017098307609558,0.7911025881767273,-0.25278210639953613,-0.06117581948637962,0.42927005887031555,0.39555129408836365,0.5108634233474731
14,95,83,91,5,0.002530199708417058,0.002492481144145131,3.771856427192688e-05,1.4038994312286377,0.6611446738243103,-1.2878694534301758,-0.21229146420955658,1.5614066123962402,0.17911936342716217,-0.3954058289527893,-0.0895983874797821,0.7807033061981201,0.47481846809387207
15,21706,83,91,5,0.002530199708417058,0.002555837854743004,-2.5638146325945854e-05,1.4044913053512573,-0.8073639869689941,0.561728298664093,-0.013317637145519257,1.0516825914382935,-0.21873356401920319,0.17246364057064056,-0.005620757583528757,0.5258412957191467,0.4739506244659424
