rank,sample_index,class_id,selected_count_before_add,dynamic_k,old_mean_shift,new_mean_shift,dist_improve_raw,div_raw,sa_z,dds_z,div_z,dist_z,sa_component,dds_component,div_component,dist_component,total
1,49922,49,10,3,0.08305524289608002,0.07413054257631302,0.008924700319766998,1.4082918167114258,-1.8923958539962769,2.8348398208618164,1.2939037084579468,0.6287001967430115,-0.5126937627792358,0.8703616857528687,0.5460968017578125,0.06287001818418503,0.9666347503662109
2,32352,49,10,3,0.08305524289608002,0.07479005306959152,0.008265189826488495,1.404684066772461,1.401960015296936,1.2611675262451172,0.13072390854358673,0.3600139915943146,0.37982335686683655,0.3872077167034149,0.055172502994537354,0.03600139915943146,0.8582049608230591
3,12189,49,10,3,0.08305524289608002,0.07229230552911758,0.010762937366962433,1.4119099378585815,-2.4655208587646484,1.0048487186431885,2.4604272842407227,1.377602458000183,-0.6679665446281433,0.308511883020401,1.0384323596954346,0.1377602517604828,0.8167380094528198
4,35518,49,10,3,0.08305524289608002,0.07239987701177597,0.010655365884304047,1.408248782157898,-1.1418249607086182,1.4400634765625,1.2800289392471313,1.3337775468826294,-0.3093467652797699,0.44213294982910156,0.5402408838272095,0.13337776064872742,0.8064048290252686
5,21001,49,10,3,0.08305524289608002,0.07258770614862442,0.010467536747455597,1.4094682931900024,-2.368804931640625,1.9405876398086548,1.673213243484497,1.2572555541992188,-0.6417639851570129,0.5958054661750793,0.7061857581138611,0.12572555243968964,0.7859528064727783
6,1147,49,10,3,0.08305524289608002,0.07178343832492828,0.011271804571151733,1.4087496995925903,-1.6918244361877441,1.4174731969833374,1.4415303468704224,1.5849162340164185,-0.45835432410240173,0.43519720435142517,0.6084031462669373,0.15849162638187408,0.7437376379966736
7,10137,49,10,3,0.08305524289608002,0.07622893899679184,0.0068263038992881775,1.4032187461853027,1.0955865383148193,1.9676517248153687,-0.34171217679977417,-0.2261916697025299,0.2968197166919708,0.6041147708892822,-0.14422087371349335,-0.02261916734278202,0.7340943813323975
8,10680,49,10,3,0.08305524289608002,0.07374263554811478,0.00931260734796524,1.4076597690582275,-2.6585404872894287,2.946488857269287,1.0901243686676025,0.7867344617843628,-0.7202600240707397,0.9046404957771301,0.4600909948348999,0.07867344468832016,0.7231448888778687
9,47971,49,10,3,0.08305524289608002,0.07211557775735855,0.010939665138721466,1.4124923944473267,-2.1065025329589844,0.09709127247333527,2.6482179164886475,1.4496017694473267,-0.5707002282142639,0.02980927564203739,1.117690086364746,0.1449601799249649,0.7217593193054199
10,46595,49,10,3,0.08305524289608002,0.07318013906478882,0.009875103831291199,1.4091707468032837,-1.7830768823623657,1.3743988275527954,1.577280879020691,1.0158969163894653,-0.48307672142982483,0.4219723641872406,0.6656971573829651,0.10158969461917877,0.7061824798583984
11,29051,49,10,3,0.08305524289608002,0.07310512661933899,0.009950116276741028,1.410239815711975,-2.3725855350494385,1.3935636281967163,1.9219608306884766,1.0464571714401245,-0.6427882313728333,0.4278564155101776,0.8111706376075745,0.10464572161436081,0.7008845806121826
12,31080,49,10,3,0.08305524289608002,0.07375269383192062,0.009302549064159393,1.408848762512207,-0.3255253732204437,0.16950105130672455,1.4734693765640259,0.7826367020606995,-0.08819234371185303,0.05204075947403908,0.6218831539154053,0.07826367020606995,0.6639952659606934
13,23966,49,10,3,0.08305524289608002,0.07264318317174911,0.010412059724330902,1.4087728261947632,-0.42635080218315125,0.12017908692359924,1.4489866495132446,1.2346540689468384,-0.11550828069448471,0.036897771060466766,0.6115501523017883,0.1234654113650322,0.6564050912857056
14,36235,49,10,3,0.08305524289608002,0.0752711221575737,0.007784120738506317,1.4084299802780151,-1.9432425498962402,1.9076263904571533,1.338449239730835,0.16402526199817657,-0.5264692902565002,0.5856856107711792,0.5648974180221558,0.016402525827288628,0.6405162811279297
15,2265,49,10,3,0.08305524289608002,0.07305796444416046,0.009997278451919556,1.4113702774047852,-1.7240445613861084,0.09059247374534607,2.2864346504211426,1.0656710863113403,-0.46708351373672485,0.027813993394374847,0.9649981260299683,0.10656710714101791,0.6322956681251526
