kr,topk_1,topk_2,random_1,random_2,herding_1,herding_2,E2LN_1,E2LN_2,GraNd_1,GraNd_2,Forgetting_1,Forgetting_2,MoSo_1,MoSo_2
20,5029.5384330153465,0.17507036477327348,nan,nan,4040.0915413200855,0.012895655259490013,4025.4667165627084,0.014191125178088744,4022.570255354047,0.014663929864764216,4030.508129785458,0.014049432395646969,4052.6327403634787,0.0187797867693007
30,7182.477287888527,0.13414555341005324,nan,nan,6043.418410778046,0.009139630803838372,6036.662889565031,0.011321454960852862,6037.913392290473,0.010708880020926395,6044.467001155019,0.011129687074571848,6071.215065211058,0.013963624835014343
40,9236.596588894725,0.10613158755004407,nan,nan,8066.736559838057,0.007745086867362261,8046.100238064925,0.008764019003137948,8053.470875908931,0.008661326890190443,8050.595692674319,0.00884731396411856,8083.3074736744165,0.013323600310832262
50,11216.842359170318,0.08411688357591629,nan,nan,10084.492960423231,0.006210343539714812,10063.629768699408,0.007371905880669753,10072.012985611955,0.007329977521051963,10071.676320796212,0.007373501981298128,10099.76166473329,0.011915738880634305
60,13136.797707021236,0.06672525368630886,nan,nan,12100.58522850275,0.00531292832456529,12086.356890926758,0.005821639377002915,12088.773089339336,0.0059037980623543275,12088.333504046002,0.005868860287591815,12115.784501746297,0.011057286243885753
70,15012.896145433187,0.05035078451037407,nan,nan,14129.048837378621,0.004212109558284283,14106.315580223998,0.004635993088595569,14104.106286798915,0.0045754484289015325,14113.430703247586,0.004993473738431931,14103.939717769623,0.009463732037693262
80,16827.630684763193,0.034918782860040666,nan,nan,16139.461655452847,0.0032870978815481068,16125.911758959293,0.0035038985234374805,16127.7670900623,0.0035183881176635624,16132.710233772794,0.0036586656079938018,16088.027759060264,0.007924824953079224
90,18572.115140110254,0.020115189999341962,nan,nan,18141.327447921038,0.002099569141864777,18145.03116928041,0.002282384100059668,18142.405790502828,0.0023382622748613353,18150.993354504306,0.002263794695803275,18079.198812693357,0.006051286542788148
