kr,topk_1,topk_2,random_1,random_2,herding_1,herding_2,E2LN_1,E2LN_2,GraNd_1,GraNd_2,Forgetting_1,Forgetting_2,MoSo_1,MoSo_2
20,4873.8998081286745,0.19562918692827225,nan,nan,3747.441950261593,0.012895655259490013,3731.1497722268105,0.014191125178088744,3727.0885670632124,0.014663929864764216,3735.8132451226315,0.014049432395646969,3759.8078345507383,0.0187797867693007
30,6877.184772352378,0.1510397143661976,nan,nan,5603.646835833788,0.009139630803838372,5594.288926258683,0.011321454960852862,5594.862796495358,0.010708880020926395,5602.599159389734,0.011129687074571848,5631.607063308358,0.013963624835014343
40,8741.36468388637,0.11968951895833015,nan,nan,7480.407520160079,0.007745086867362261,7454.49648570021,0.008764019003137948,7462.5909059643745,0.008661326890190443,7460.63535713156,0.00884731396411856,7494.517112776637,0.013323600310832262
50,10532.025580753883,0.09434082011381785,nan,nan,9350.899634078145,0.006210343539714812,9326.030692939958,0.007371905880669753,9334.736868813634,0.007329977521051963,9336.680836399397,0.007373501981298128,9364.13376942277,0.011915738880634305
60,12252.232414056858,0.07305544291933379,nan,nan,11219.622167393565,0.00531292832456529,11201.630468343696,0.005821639377002915,11204.335942635933,0.0059037980623543275,11204.94373074174,0.005868860287591815,11232.585550919175,0.011057286243885753
70,13925.004089593887,0.05412426516413688,nan,nan,13100.070328518748,0.004212109558284283,13075.150233621398,0.004635993088595569,13072.264818211397,0.0045754484289015325,13083.841560189923,0.004993473738431931,13068.559939160943,0.009463732037693262
80,15559.95367914935,0.036521864930788676,nan,nan,14961.737152263522,0.0032870978815481068,14946.970885425806,0.0035038985234374805,14949.394837930799,0.0035183881176635624,14956.509493390718,0.0036586656079938018,14901.89747159183,0.007924824953079224
90,17141.977869287133,0.01955366935580969,nan,nan,16813.780896678567,0.002099569141864777,16818.625842764974,0.002282384100059668,16815.93622994423,0.0023382622748613353,16825.91654785971,0.002263794695803275,16740.49834638834,0.006051286542788148
